season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
7,1,2021 Diriyah,2021-02-26,Sam Bird,10,Jaguar,Jaguar,Ret,23,8,22,Collision damage,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Jérôme d'Ambrosio,64,Mahindra,Mahindra,DNS,23,4,0,Did not start,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Nyck de Vries,17,Mercedes,Mercedes,Ret,23,4,15,Electronics,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Ma Qing Hua,33,NIO,NIO-NextEV,23,23,21,33,+1 lap,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Daniel Abt,33,NIO,NIO-NextEV,Ret,23,20,33,Technical,0,0,0,0
6,3,2020 Santiago,2020-01-18,Neel Jani,18,Porsche,Porsche,Ret,23,12,2,Collision damage,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Robin Frijns,4,Virgin-Audi,Virgin,Ret,23,5,33,Puncture,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Sébastien Buemi,23,e.dams-Nissan,Nissan-Renault,Ret,23,14,3,Technical,0,0,0,0
6,5,2020 Marrakesh,2020-02-29,Alexander Sims,27,Andretti-BMW,BMW-Andretti,Ret,24,8,33,Driveshaft,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,Ret,24,13,4,Puncture,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Nico Müller,7,Dragon-Penske,Dragon,DNS,24,23,0,Did not start,0,0,0,0
6,6,2020 Berlin,2020-08-05,Sérgio Sette Câmara,6,Dragon-Penske,Dragon,DSQ5,24,22,36,Energy usage,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Jérôme d'Ambrosio,64,Mahindra,Mahindra,DSQ4,24,14,38,Energy usage,0,0,0,0
7,1,2021 Diriyah,2021-02-26,Alex Lynn,94,Mahindra,Mahindra,Ret,24,5,16,Collision,0,0,0,0
6,2,2019 Diriyah race 2,2019-11-23,Oliver Turvey,3,NIO,NIO-NextEV,DSQ6,24,17,30,Energy usage,0,0,0,0
6,3,2020 Santiago,2020-01-18,André Lotterer,36,Porsche,Porsche,DSQ,24,14,28,Energy overusage6,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Neel Jani,18,Porsche,Porsche,Ret,24,18,10,Collision,0,0,0,0
7,2,2021 Diriyah race 2,2021-02-27,Edoardo Mortara,48,Venturi-Mercedes,Venturi,DNS,24,21,0,Did not start,0,0,0,0
6,4,2020 Mexico City,2020-02-15,Robin Frijns,4,Virgin-Audi,Virgin,DSQ,24,6,36,Energy usage1,0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,Robin Frijns,4,Virgin-Audi,Virgin,DNS,24,10,0,Did not start,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Oliver Rowland,22,e.dams-Nissan,Nissan-Renault,Ret,24,24,25,Accident,0,0,0,0
