season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
1,7,2015 Monaco,2015-05-09,Loïc Duval,6,Dragon Racing,Dragon,Ret,17,5,24,Electrical,0,0,0,0
3,5,2017 Monaco,2017-05-13,Jérôme d'Ambrosio,7,Dragon-Penske,Dragon,Ret,17,19,43,Powertrain,0,0,0,0
3,11,2017 Montreal,2017-07-29,Loïc Duval,6,Dragon-Penske,Dragon,Ret,17,10,26,Electrical,0,0,1,1
4,7,2018 Rome,2018-04-14,José María López,6,Dragon-Penske,Dragon,17,17,19,29,Thorttle/Suspension,0,0,0,0
4,11,2018 New York City,2018-07-14,José María López,6,Dragon-Penske,Dragon,Ret,17,7,30,Suspension,0,0,0,0
5,4,2019 Mexico City,2019-02-16,José María López,7,Dragon-Penske,Dragon,17,17,15,45,+41.5423,0,0,0,0
6,7,2020 Berlin race 2,2020-08-06,Sérgio Sette Câmara,6,Dragon-Penske,Dragon,17,17,20,38,+35.727,0,0,0,0
6,10,2020 Berlin race 5,2020-08-12,Nico Müller,7,Dragon-Penske,Dragon,17,17,11,36,+34.140,0,0,0,0
5,11,2019 Swiss,2019-06-22,Gary Paffett,17,HWA-Venturi,Mercedes,17,17,16,31,+1:22.512,0,0,0,0
3,2,2016 Marrakesh,2016-11-12,Mitch Evans,16,Jaguar,Jaguar,17,17,16,32,,0,0,0,0
3,3,2017 Buenos Aires,2017-02-18,Adam Carroll,47,Jaguar,Jaguar,17,17,15,36,+1 Lap,0,0,0,0
3,8,2017 Berlin race 2,2017-06-11,Mitch Evans,20,Jaguar,Jaguar,17,17,9,46,+67.018,0,0,0,0
5,13,2019 New York City race 2,2019-07-14,Mitch Evans,20,Jaguar,Jaguar,17,17,8,36,"+1:27.0091,2",0,0,0,0
6,9,2020 Berlin race 4,2020-08-09,James Calado,51,Jaguar,Jaguar,17,17,14,37,+26.600,0,0,0,0
6,11,2020 Berlin race 6,2020-08-13,Tom Blomqvist,51,Jaguar,Jaguar,17,17,12,36,+25.992,0,0,0,0
5,8,2019 Paris,2019-04-27,Jérôme d'Ambrosio,64,Mahindra,Mahindra,17,17,21,29,Accident2,0,0,0,0
5,10,2019 Berlin,2019-05-25,Jérôme d'Ambrosio,64,Mahindra,Mahindra,17,17,9,37,+27.729,0,0,0,0
6,8,2020 Berlin race 3,2020-08-08,Alex Lynn,94,Mahindra,Mahindra,17,17,5,35,+23.181,0,0,0,0
1,8,2015 Berlin,2015-05-23,Bruno Senna,21,Mahindra Racing,Mahindra,17,17,18,33,+46.257,0,0,0,0
2,2,2015 Putrajaya,2015-11-07,Oliver Turvey,88,NEXTEV TCR,NIO-NextEV,Ret,17,17,4,Accident,0,0,0,0
4,8,2018 Paris,2018-04-28,Ma Qing Hua,68,NIO,NIO-NextEV,17,17,17,46,+3 Laps,0,0,0,0
4,9,2018 Berlin,2018-05-19,Luca Filippi,68,NIO,NIO-NextEV,17,17,18,45,+53.302,0,0,0,0
4,12,2018 New York City race 2,2018-07-15,Luca Filippi,68,NIO,NIO-NextEV,Ret,17,15,7,Crash,0,0,0,0
5,2,2019 Marrakesh,2019-01-12,Tom Dillmann,8,NIO,NIO-NextEV,17,17,18,31,+9.665,0,0,0,0
3,12,2017 Montreal race 2,2017-07-30,Oliver Turvey,88,NextEV NIO,NIO-NextEV,17,17,16,37,+49.116,0,0,0,0
6,1,2019 Diriyah,2019-11-22,Neel Jani,18,Porsche,Porsche,17,17,20,34,+15.429,0,0,0,0
2,1,2015 Beijing,2015-10-24,António Félix da Costa,55,Team Aguri,Techeetah,Ret,17,16,13,Collision,0,0,0,0
2,4,2016 Buenos Aires,2016-02-06,António Félix da Costa,55,Team Aguri,Techeetah,Ret,17,3,17,Software,0,0,0,0
2,5,2016 Mexico City,2016-03-12,António Félix da Costa,55,Team Aguri,Techeetah,Ret,17,17,32,Accident damage,0,0,0,0
2,6,2016 Long Beach,2016-04-02,António Félix da Costa,55,Team Aguri,Techeetah,Ret,17,18,33,Suspension,0,0,0,0
5,3,2019 Santiago,2019-01-26,Jean-Éric Vergne,25,Techeetah-DS,Techeetah,Ret,17,12,22,Engine,0,0,0,0
5,12,2019 New York City,2019-07-13,André Lotterer,36,Techeetah-DS,Techeetah,17,17,16,35,+1 lap,0,0,0,0
3,1,2016 Hong Kong,2016-10-09,Jean-Éric Vergne,25,Techeetah-Renault,Techeetah,Ret,17,8,31,Battery,0,0,0,0
1,9,2015 Moscow,2015-06-06,Vitantonio Liuzzi,18,Trulli GP,Trulli,17,17,19,34,+1 lap,0,0,0,0
3,4,2017 Mexico City,2017-04-01,Maro Engel,5,Venturi,Venturi,Ret,17,12,38,Power,0,0,0,0
3,9,2017 New York City,2017-07-15,Maro Engel,5,Venturi,Venturi,Ret,17,20,30,Engine,0,0,1,1
3,10,2017 New York City race 2,2017-07-16,Maro Engel,5,Venturi,Venturi,Ret,17,6,22,Electrical,0,0,0,0
4,3,2018 Marrakesh,2018-01-13,Edoardo Mortara,4,Venturi,Venturi,Ret,17,17,30,Engine,0,0,0,0
4,6,2018 Punta del Este,2018-03-17,Edoardo Mortara,4,Venturi,Venturi,17,17,13,36,+1 Lap,0,0,0,0
5,1,2018 Ad Diriyah,2018-12-15,Felipe Massa,19,Venturi,Venturi,17,17,12,33,+43.6107,0,0,0,0
